Feature,Known_Effect_Size,Unseen_Effect_Size,Effect_Size_Gap,Generalization_Ratio,Unseen_Absolute_Effect
Avg_Flow_Duration,-1.0076862573623657,-0.6508388519287109,0.3568474054336548,-0.645874494340774,0.6508388519287109
SYN_Count,0.33973079919815063,0.6341536045074463,0.29442280530929565,1.8666356009003018,0.6341536045074463
ACK_Count,0.9779407978057861,0.492572158575058,-0.48536863923072815,0.5036830037971036,0.492572158575058
Flow_Count,0.9925522208213806,0.4855775535106659,-0.5069746673107147,0.4892211647144771,0.4855775535106659
RST_Count,0.7771981954574585,0.4682399034500122,-0.3089582920074463,0.6024716812084258,0.4682399034500122
PSH_Count,1.3072094917297363,0.36620602011680603,-0.9410034716129303,0.2801433300732477,0.36620602011680603
Unique_Destination_Ports,0.3192933201789856,0.34769684076309204,0.028403520584106445,1.088957453187857,0.34769684076309204
Avg_Bwd_Packets_Per_Second,0.6517059206962585,0.30705612897872925,-0.3446497917175293,0.4711574948562853,0.30705612897872925
Avg_Packets_Per_Second,0.43294966220855713,0.30568066239356995,-0.12726899981498718,0.7060420392373786,0.30568066239356995
Avg_Fwd_Packets_Per_Second,0.2448599934577942,0.2841576337814331,0.039297640323638916,1.160490244925421,0.2841576337814331
Avg_Packet_Length_Std,-0.5172925591468811,-0.25235870480537415,0.26493385434150696,-0.4878452248009836,0.25235870480537415
Avg_Fwd_Bytes,-0.0018606210360303521,0.2125089317560196,0.21436955279204994,114.2139788418145,0.2125089317560196
Avg_Packet_Length,-0.681760311126709,-0.18445007503032684,0.49731023609638214,-0.27054974016487626,0.18445007503032684
Avg_Bwd_Bytes,-0.21110473573207855,-0.02030678652226925,0.1907979492098093,-0.09619294636736718,0.02030678652226925
Avg_Bytes_Per_Second,-0.41869696974754333,0.01938812807202339,0.4380850978195667,0.046305871484255814,0.01938812807202339
Avg_Fwd_Packets,0.14263209700584412,-0.0018860609270632267,-0.14451815793290734,-0.01322325736382271,0.0018860609270632267
Avg_Bwd_Packets,-0.052375003695487976,-0.0004029181436635554,0.05197208555182442,-0.007692947307430418,0.0004029181436635554
Unique_Protocols,0.0,0.0,0.0,0.0,0.0
