Feature,Benign_Mean,Known_Attack_Mean,Mean_Difference,Benign_Median,Known_Attack_Median,Effect_Size,Absolute_Effect_Size
PSH_Count,574.90924,1048.4631,473.5539,572.0,953.0,1.3072094917297363,1.3072094917297363
Avg_Flow_Duration,1.3637406e+07,9.908144e+06,-3.729262e+06,1.3745832e+07,1.0125849e+07,-1.0076862573623657,1.0076862573623657
Flow_Count,1314.8441,2146.4805,831.63635,1238.0,1956.0,0.9925522208213806,0.9925522208213806
ACK_Count,365.13556,651.6711,286.53552,342.0,557.0,0.9779407978057861,0.9779407978057861
RST_Count,171.25119,406.23456,234.98337,114.0,424.0,0.7771981954574585,0.7771981954574585
Avg_Packet_Length,82.8162,72.01427,-10.801933,84.36514,72.00543,-0.681760311126709,0.681760311126709
Avg_Bwd_Packets_Per_Second,4288.9165,15367.005,11078.088,2552.6514,3267.927,0.6517059206962585,0.6517059206962585
Avg_Packet_Length_Std,125.944626,114.68221,-11.262413,126.9747,112.52473,-0.5172925591468811,0.5172925591468811
Avg_Packets_Per_Second,29939.727,46788.54,16848.812,24126.246,24701.896,0.43294966220855713,0.43294966220855713
Avg_Bytes_Per_Second,260514.16,199181.22,-61332.938,220500.78,178263.19,-0.41869696974754333,0.41869696974754333
SYN_Count,48.861137,63.387638,14.526501,39.0,53.0,0.33973079919815063,0.33973079919815063
Unique_Destination_Ports,182.33815,210.39345,28.055298,191.0,206.5,0.3192933201789856,0.3192933201789856
Avg_Fwd_Packets_Per_Second,25457.225,31191.875,5734.6504,20449.955,21143.643,0.2448599934577942,0.2448599934577942
Avg_Bwd_Bytes,6491.4453,4453.206,-2038.2393,3206.1758,3601.6653,-0.21110473573207855,0.21110473573207855
Avg_Fwd_Packets,6.440962,6.909818,0.46885633,5.919255,5.616343,0.14263209700584412,0.14263209700584412
Avg_Bwd_Packets,7.9087787,7.544655,-0.36412382,5.8198276,6.672773,-0.052375003695487976,0.052375003695487976
Avg_Fwd_Bytes,489.1881,487.7828,-1.405304,415.0578,379.2902,-0.0018606210360303521,0.0018606210360303521
Unique_Protocols,3.0,3.0,0.0,3.0,3.0,0.0,0.0
