Feature,Mean,Std,Median,Min,Max,P25,P75,Dataset
Flow_Count,1314.8441,798.1356,1238.0,130.0,7239.0,825.0,1668.0,Known_Benign
Avg_Flow_Duration,1.3637406e+07,3.728815e+06,1.3745832e+07,2.8023622e+06,2.258044e+07,1.0879695e+07,1.6471638e+07,Known_Benign
Avg_Fwd_Packets,6.440962,2.950984,5.919255,3.130319,39.85279,4.8555274,6.9594555,Known_Benign
Avg_Bwd_Packets,7.9087787,9.015029,5.8198276,2.0324483,97.419624,4.071482,8.800155,Known_Benign
Avg_Fwd_Bytes,489.1881,1027.7823,415.0578,188.33333,21382.145,353.73566,499.64664,Known_Benign
Avg_Bwd_Bytes,6491.4453,13005.684,3206.1758,307.73157,137935.22,1076.38,7535.9653,Known_Benign
Avg_Bytes_Per_Second,260514.16,169018.58,220500.78,6616.829,1.008133e+06,145785.56,341925.9,Known_Benign
Avg_Packets_Per_Second,29939.727,22725.719,24126.246,2852.1719,207731.75,15919.715,37301.656,Known_Benign
Avg_Packet_Length,82.8162,17.234364,84.36514,42.389534,288.78635,72.56549,92.517204,Known_Benign
Avg_Packet_Length_Std,125.944626,21.763716,126.9747,70.08072,292.16934,112.27467,139.57256,Known_Benign
Avg_Fwd_Packets_Per_Second,25457.225,17680.846,20449.955,2465.2852,126118.71,13417.931,31522.473,Known_Benign
Avg_Bwd_Packets_Per_Second,4288.9165,7653.799,2552.6514,292.7668,80068.57,1724.3829,4371.6494,Known_Benign
SYN_Count,48.861137,42.51952,39.0,0.0,317.0,20.0,64.0,Known_Benign
RST_Count,171.25119,179.75197,114.0,3.0,1531.0,57.75,268.0,Known_Benign
PSH_Count,574.90924,325.19794,572.0,67.0,2345.0,342.0,725.0,Known_Benign
ACK_Count,365.13556,220.764,342.0,45.0,1717.0,222.0,468.0,Known_Benign
Unique_Destination_Ports,182.33815,94.3492,191.0,17.0,697.0,109.0,242.0,Known_Benign
Unique_Protocols,3.0,0.0,3.0,3.0,3.0,3.0,3.0,Known_Benign
Flow_Count,2146.4805,875.8163,1956.0,418.0,6773.0,1583.0,2464.0,Known_Attack
Avg_Flow_Duration,9.908144e+06,3.6726048e+06,1.0125849e+07,1.9452399e+06,2.0281352e+07,7.3956835e+06,1.2515589e+07,Known_Attack
Avg_Fwd_Packets,6.909818,3.5920336,5.616343,3.1490445,41.594845,4.78453,7.2248964,Known_Attack
Avg_Bwd_Packets,7.544655,3.9238575,6.672773,2.5280745,41.0882,4.3778563,9.584647,Known_Attack
Avg_Fwd_Bytes,487.7828,290.8302,379.2902,190.25478,1350.3458,323.232,452.7888,Known_Attack
Avg_Bwd_Bytes,4453.206,4158.6626,3601.6653,209.95557,56789.49,1585.4181,6360.241,Known_Attack
Avg_Bytes_Per_Second,199181.22,119785.6,178263.19,14989.69,768427.2,109032.24,271409.84,Known_Attack
Avg_Packets_Per_Second,46788.54,50124.883,24701.896,3451.147,246638.23,14330.699,53408.6,Known_Attack
Avg_Packet_Length,72.01427,14.319665,72.00543,38.120354,155.52338,62.602272,81.698074,Known_Attack
Avg_Packet_Length_Std,114.68221,21.77997,112.52473,64.23213,179.90424,99.78512,127.45983,Known_Attack
