Feature,Benign_Mean,Infilteration_Mean,Mean_Difference,Benign_Median,Infilteration_Median,Effect_Size,Absolute_Effect_Size
Avg_Flow_Duration,1.6336008e+07,1.3809198e+07,-2.52681e+06,1.630293e+07,1.4316555e+07,-0.6508388519287109,0.6508388519287109
SYN_Count,35.162243,48.743168,13.580925,32.0,46.0,0.6341536045074463,0.6341536045074463
ACK_Count,116.97906,144.03716,27.058098,109.0,134.5,0.492572158575058,0.492572158575058
Flow_Count,520.9192,778.9175,257.9983,465.0,602.0,0.4855775535106659,0.4855775535106659
RST_Count,109.65192,141.28633,31.634415,96.0,130.0,0.4682399034500122,0.4682399034500122
PSH_Count,202.85516,374.61258,171.75742,166.0,216.0,0.36620602011680603,0.36620602011680603
Unique_Destination_Ports,102.352806,168.47049,66.11768,90.0,101.0,0.34769684076309204,0.34769684076309204
Avg_Bwd_Packets_Per_Second,7047.798,17690.068,10642.2705,4616.6084,4814.293,0.30705612897872925,0.30705612897872925
Avg_Packets_Per_Second,43543.8,64328.254,20784.453,36554.156,40081.49,0.30568066239356995,0.30568066239356995
Avg_Fwd_Packets_Per_Second,36021.727,46096.883,10075.156,30733.918,34355.332,0.2841576337814331,0.2841576337814331
Avg_Packet_Length_Std,112.15006,106.01132,-6.1387405,113.11276,111.63855,-0.25235870480537415,0.25235870480537415
Avg_Fwd_Bytes,427.52432,694.5017,266.9774,409.36896,385.84177,0.2125089317560196,0.2125089317560196
Avg_Packet_Length,80.09232,77.025665,-3.066658,80.93237,80.801506,-0.18445007503032684,0.18445007503032684
Avg_Bwd_Bytes,2906.2673,2640.3042,-265.96313,1265.838,1454.5203,-0.02030678652226925,0.02030678652226925
Avg_Bytes_Per_Second,313385.1,317655.28,4270.1875,276806.78,276219.06,0.01938812807202339,0.01938812807202339
Avg_Fwd_Packets,5.8300285,5.8219886,-0.008039951,5.4365025,5.1721854,-0.0018860609270632267,0.0018860609270632267
Avg_Bwd_Packets,5.5044484,5.50057,-0.0038785934,4.460251,4.5752506,-0.0004029181436635554,0.0004029181436635554
Unique_Protocols,3.0,3.0,0.0,3.0,3.0,0.0,0.0
