Feature,Known_Benign_Std,Unseen_Benign_Std,Std_Ratio
Avg_Bwd_Packets_Per_Second,7653.799,18382.02,2.4016857
Avg_Packets_Per_Second,22725.719,39998.113,1.7600373
Avg_Fwd_Packets,2.950984,4.8448505,1.6417745
Avg_Fwd_Packets_Per_Second,17680.846,24876.963,1.4070008
Avg_Bwd_Packets,9.015029,12.482815,1.3846672
Avg_Bwd_Bytes,13005.684,17334.262,1.3328221
Avg_Bytes_Per_Second,169018.58,217875.52,1.2890625
Unique_Destination_Ports,94.3492,104.52968,1.1079022
Avg_Packet_Length_Std,21.763716,21.484947,0.98719114
Avg_Flow_Duration,3.728815e+06,3.6281122e+06,0.9729934
Avg_Packet_Length,17.234364,13.422288,0.7788096
PSH_Count,325.19794,218.82043,0.6728838
SYN_Count,42.51952,21.101376,0.496275
Flow_Count,798.1356,315.93765,0.39584458
RST_Count,179.75197,62.091946,0.34543124
ACK_Count,220.764,50.361286,0.22812273
Avg_Fwd_Bytes,1027.7823,132.70776,0.1291205
Unique_Protocols,0.0,0.0,0.0
