Epoch,Train_Loss,Validation_Loss,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Validation_PR_AUC
1,0.7739524135644409,0.5966297948120425,0.912751677852349,0.9642857142857143,0.9230769230769231,0.9432314410480349,0.9711538461538461,0.9913246599006083
2,0.6030283858036173,0.26816010777682264,0.9328859060402684,0.9421487603305785,0.9743589743589743,0.957983193277311,0.9423076923076923,0.978747548762338
3,0.49612622813703455,0.27221388124154516,0.9328859060402684,0.9349593495934959,0.9829059829059829,0.9583333333333334,0.9447115384615385,0.9798634620659571
4,0.47198871794331576,0.25849465575794245,0.9530201342281879,0.9435483870967742,1.0,0.970954356846473,0.9508547008547008,0.9833089225314837
5,0.4425301560953659,0.25266086332024945,0.9530201342281879,0.9435483870967742,1.0,0.970954356846473,0.9596688034188035,0.9875202580910222
6,0.40295017382194254,0.22543015167579655,0.959731543624161,0.9512195121951219,1.0,0.975,0.9642094017094017,0.9889682789748399
7,0.37538948346828593,0.27748431051587497,0.9194630872483222,0.9069767441860465,1.0,0.9512195121951219,0.9548611111111112,0.9852694723917845
8,0.3420632306871743,0.2803168883265915,0.8657718120805369,0.8540145985401459,1.0,0.9212598425196851,0.938301282051282,0.9773554829648232
9,0.30518997480586113,0.2909536521722431,0.87248322147651,0.8602941176470589,1.0,0.924901185770751,0.9628739316239316,0.9886519718108542
10,0.26489659013419314,0.2798222514680406,0.8859060402684564,0.8731343283582089,1.0,0.9322709163346613,0.9316239316239316,0.9745840561536949
11,0.2507395972694017,0.3328300623493519,0.8456375838926175,0.8357142857142857,1.0,0.9105058365758755,0.9503205128205128,0.9832064170622923
12,0.23212645085835365,0.33408766328247774,0.8523489932885906,0.841726618705036,1.0,0.9140625,0.9294871794871795,0.9730241034703404
13,0.21296708097403078,0.3187836229644134,0.87248322147651,0.8602941176470589,1.0,0.924901185770751,0.9388354700854701,0.9779073479733237
14,0.19062453633980733,0.3477725039139365,0.8590604026845637,0.8478260869565217,1.0,0.9176470588235294,0.937767094017094,0.977275152721245
15,0.18844718837189947,0.3848466319379697,0.8523489932885906,0.841726618705036,1.0,0.9140625,0.9310897435897436,0.9739269012524268
16,0.16737634094853054,0.4264577401324563,0.8456375838926175,0.8357142857142857,1.0,0.9105058365758755,0.9270833333333334,0.9720191927737328
17,0.15491816218785398,0.3878205613560909,0.8523489932885906,0.841726618705036,1.0,0.9140625,0.9316239316239316,0.9743063695706935
18,0.15316338523137615,0.35660220177093327,0.87248322147651,0.8602941176470589,1.0,0.924901185770751,0.9316239316239316,0.9745893522008345
