Flat_Index,History_Timestep,Feature_Index,Importance
1479,9,30,0.015536204
315,1,154,0.013106616
996,6,30,0.011612611
1462,9,13,0.010673365
1583,9,134,0.010378103
1157,7,30,0.0098274555
1342,8,54,0.009710981
1301,8,13,0.009343478
1149,7,22,0.009244828
1253,7,126,0.009136787
1318,8,30,0.008082086
1422,8,134,0.007967619
1140,7,13,0.0077882744
1181,7,54,0.007712801
1503,9,54,0.0074738804
827,5,22,0.006984186
1442,8,154,0.0066861445
1471,9,22,0.006419541
1575,9,126,0.0063928682
656,4,12,0.006262811
637,3,154,0.0061151884
451,2,129,0.005868297
617,3,134,0.005652251
666,4,22,0.00558326
1603,9,154,0.0055441214
1343,8,55,0.0053799017
602,3,119,0.0053579425
674,4,30,0.0051624645
835,5,30,0.005135076
659,4,15,0.0050360058
979,6,13,0.0050197677
1470,9,21,0.0049607605
629,3,146,0.004929389
288,1,127,0.004724039
1050,6,84,0.0045364727
1463,9,14,0.0045309146
155,0,155,0.004522601
1310,8,22,0.0044898
468,2,146,0.004331638
1606,9,157,0.004275186
947,5,142,0.0042699003
923,5,118,0.004219404
279,1,118,0.0040896996
1360,8,72,0.003986276
1084,6,118,0.003970964
287,1,126,0.0038778814
1464,9,15,0.003828383
1281,7,154,0.0037591232
1339,8,51,0.0037573518
989,6,23,0.003724453
1444,8,156,0.00372309
307,1,146,0.0037197177
425,2,103,0.0036091933
957,5,152,0.0035885773
23,0,23,0.003560141
601,3,118,0.0035523055
256,1,95,0.0035225698
316,1,155,0.0034953079
402,2,80,0.0034545886
980,6,14,0.0034445385
290,1,129,0.0033691546
762,4,118,0.0033070683
1120,6,154,0.0033068245
295,1,134,0.0033000633
790,4,146,0.003300032
1177,7,50,0.0032907918
956,5,151,0.0032754347
129,0,129,0.003200899
1578,9,129,0.0030980157
1592,9,143,0.003038495
988,6,22,0.002993809
134,0,134,0.002977104
1595,9,146,0.0029742736
456,2,134,0.0029725393
119,0,119,0.0029608686
1590,9,141,0.0029497845
126,0,126,0.002925877
960,5,155,0.0029225776
1398,8,110,0.002854936
1531,9,82,0.0028441772
1284,7,157,0.0028284863
610,3,127,0.002825391
865,5,60,0.0027242952
393,2,71,0.002692128
1311,8,23,0.0026882673
184,1,23,0.002667429
22,0,22,0.002665004
1434,8,146,0.0026425114
79,0,79,0.0026175412
280,1,119,0.002606719
1154,7,27,0.0025738128
1237,7,110,0.0025570304
998,6,32,0.0025452024
1559,9,110,0.0025429896
441,2,119,0.0025013254
1560,9,111,0.0024934567
1085,6,119,0.0024819004
667,4,23,0.0024617966
465,2,143,0.002446535
819,5,14,0.0024456263
102,0,102,0.0024023433
35,0,35,0.0024022548
1582,9,133,0.0023822763
232,1,71,0.002356911
1334,8,46,0.0023476898
843,5,38,0.00232728
521,3,38,0.0023068201
118,0,118,0.002285239
1536,9,87,0.0022809212
939,5,134,0.0022310833
30,0,30,0.0022085905
1476,9,27,0.0021803337
354,2,32,0.0021739514
959,5,154,0.0021551426
62,0,62,0.002146701
1374,8,86,0.0021397206
1543,9,94,0.0021334558
31,0,31,0.0021327478
1581,9,132,0.0021200553
214,1,53,0.0021076575
800,4,156,0.0020987533
1197,7,70,0.0020816878
1283,7,156,0.0020765217
1406,8,118,0.002074212
1173,7,46,0.0020206922
1004,6,38,0.0020092318
191,1,30,0.0020067613
1329,8,41,0.00200232
472,2,150,0.0019956399
1007,6,41,0.0019912461
1604,9,155,0.0019837462
815,5,10,0.0019790307
933,5,128,0.001966078
1261,7,134,0.0019649055
1567,9,118,0.0019360736
1222,7,95,0.0019327734
513,3,30,0.0019217917
1150,7,23,0.0019215894
64,0,64,0.0019132117
240,1,79,0.0019105971
447,2,125,0.0019085894
135,0,135,0.0018814306
739,4,95,0.0018664522
852,5,47,0.0018627968
417,2,95,0.0018619619
828,5,23,0.0018393478
1165,7,38,0.0018273788
858,5,53,0.0018205133
344,2,22,0.0018130688
1326,8,38,0.0018123413
530,3,47,0.0018027861
562,3,79,0.0017929898
657,4,13,0.0017924422
224,1,63,0.0017923181
1472,9,23,0.0017828848
553,3,70,0.0017755323
1280,7,153,0.0017742445
183,1,22,0.0017658876
1453,9,4,0.0017613472
1414,8,126,0.0017590628
1535,9,86,0.0017559895
150,0,150,0.0017526377
94,0,94,0.0017407604
1121,6,155,0.0017387775
1060,6,94,0.0017267475
830,5,25,0.0017070008
1180,7,53,0.0017045897
464,2,142,0.0016902629
432,2,110,0.0016833323
431,2,109,0.0016737687
1012,6,46,0.0016734932
1417,8,129,0.0016612303
682,4,38,0.0016499157
1599,9,150,0.0016407062
1352,8,64,0.0016345165
1100,6,134,0.0016323435
1061,6,95,0.001616465
660,4,16,0.0016143009
375,2,53,0.0016123782
440,2,118,0.0015871226
368,2,46,0.0015860335
1496,9,47,0.0015710053
1544,9,95,0.0015696068
797,4,153,0.001567435
808,5,3,0.001560728
1245,7,118,0.0015477315
95,0,95,0.001544814
1182,7,55,0.0015447176
1111,6,145,0.0015346798
87,0,87,0.0015342438
1174,7,47,0.0015310356
11,0,11,0.0015293416
578,3,95,0.0015244033
1552,9,103,0.0015228853
1151,7,24,0.0015031206
851,5,46,0.0015013857
1052,6,86,0.0014817361
179,1,18,0.0014635578
1512,9,63,0.0014635271
192,1,31,0.001460087
439,2,117,0.001443319
1167,7,40,0.0014413884
162,1,1,0.0014304557
1206,7,79,0.0014161647
1198,7,71,0.0014140888
899,5,94,0.0014075765
47,0,47,0.0014072995
54,0,54,0.0014053156
369,2,47,0.0014042438
768,4,124,0.0013965206
1288,8,0,0.0013926723
223,1,62,0.0013917907
1044,6,78,0.0013900257
938,5,133,0.0013849641
175,1,14,0.0013826903
46,0,46,0.0013795824
12,0,12,0.0013791943
1446,8,158,0.0013753586
1128,7,1,0.0013742802
1019,6,53,0.0013713624
1411,8,123,0.0013603644
1528,9,79,0.0013566492
59,0,59,0.001353279
1520,9,71,0.0013520119
1495,9,46,0.0013518877
1013,6,47,0.0013509702
123,0,123,0.0013501643
1519,9,70,0.0013476566
638,3,155,0.0013476103
730,4,86,0.0013361182
1395,8,107,0.0013338126
628,3,145,0.0013109137
675,4,31,0.001305792
1452,9,3,0.0013023379
1221,7,94,0.001299348
924,5,119,0.0012960617
916,5,111,0.0012897389
1327,8,39,0.0012885
1375,8,87,0.0012868661
207,1,46,0.0012764746
1382,8,94,0.0012757952
955,5,150,0.0012751609
38,0,38,0.0012570206
1358,8,70,0.0012517679
743,4,99,0.0012499529
1607,9,158,0.0012423606
1268,7,141,0.0012394398
1053,6,87,0.0012384093
806,5,1,0.0012373106
789,4,145,0.0012349564
547,3,64,0.0012269693
1356,8,68,0.001219066
579,3,96,0.0012183351
1070,6,104,0.0012172224
409,2,87,0.0012153238
326,2,4,0.0012144945
1136,7,9,0.0011949531
259,1,98,0.0011901229
1584,9,135,0.0011849569
312,1,151,0.0011791058
928,5,123,0.001178844
1289,8,1,0.001176559
156,0,156,0.0011740088
707,4,63,0.0011703719
352,2,30,0.0011680669
85,0,85,0.001164201
1500,9,51,0.0011634241
140,0,140,0.0011625589
1365,8,77,0.0011575773
304,1,143,0.0011467848
816,5,11,0.0011415074
1122,6,156,0.0011412873
1028,6,62,0.001136957
1608,9,159,0.0011121745
14,0,14,0.0011096298
763,4,119,0.0011089414
1300,8,12,0.0011039649
408,2,86,0.0011030261
385,2,63,0.0011022114
714,4,70,0.00110113
1287,7,160,0.0011001733
1299,8,11,0.0010935918
876,5,71,0.0010900898
1482,9,33,0.0010893025
139,0,139,0.0010870582
679,4,35,0.0010864617
1437,8,149,0.0010847881
884,5,79,0.0010820337
498,3,15,0.0010564339
690,4,46,0.0010553222
86,0,86,0.0010552
1510,9,61,0.0010545051
540,3,57,0.0010419578
1178,7,51,0.0010419369
645,4,1,0.001041881
786,4,142,0.0010384499
799,4,155,0.0010323991
360,2,38,0.0010280556
1562,9,113,0.001026035
1101,6,135,0.0010245515
275,1,114,0.0010149117
141,0,141,0.0010114354
1460,9,11,0.0010066766
247,1,86,0.0009997049
264,1,103,0.0009957502
