Timestep,Feature,Importance
9,PSH_Count_RollingMean5,0.07026654
10,PSH_Count_RollingMean5,0.06808487
10,Avg_Flow_Duration_RollingMean5,0.025160825
8,Avg_Bwd_Packets_RollingMean5,0.022345975
10,RST_Count_RollingMean5,0.021267684
6,PSH_Count_RollingMean5,0.017342923
9,Avg_Flow_Duration_RollingMean5,0.015915789
9,Avg_Bwd_Packets_Per_Second,0.013474053
9,RST_Count_RollingMean5,0.013159943
10,PSH_Count,0.012336479
4,PSH_Count_RollingMean5,0.011831116
7,RST_Per_Flow,0.0114056375
10,RST_Count,0.01039127
10,ACK_Count_RollingMean5,0.010216754
8,Avg_Flow_Duration_RollingMean5,0.01009764
10,Avg_Bwd_Packets_Per_Second,0.010039995
7,RST_Count_ZScore5,0.009141059
10,Flow_Count_Diff1,0.00855601
7,Avg_Flow_Duration_RollingMean5,0.008072552
5,Flow_Count_RollingMean5,0.0075118127
9,RST_Count,0.007510212
5,Avg_Flow_Duration_RollingMean5,0.007468629
5,Avg_Bwd_Packets_RollingMean5,0.007433867
8,Flow_Count_RollingStd5,0.0070764455
2,Avg_Bytes_Per_Second_RollingStd5,0.0067765866
10,Avg_Flow_Duration_RollingStd5,0.006380553
10,Avg_Packet_Length,0.0063477126
8,Avg_Packet_Length_RollingMean5,0.0062629576
7,RST_Count,0.0060850778
8,Unique_Destination_Ports_RollingStd5,0.006060179
9,PSH_Count,0.005966404
2,Avg_Packet_Length_RollingMean5,0.005825832
2,RST_Per_Flow,0.00572115
7,ACK_Count_RollingStd5,0.0055187824
2,Avg_Bwd_Packets_RollingMean5,0.005487415
9,Flow_Count_Diff1,0.0054674763
10,Avg_Flow_Duration,0.005455729
6,Unique_Destination_Ports_RollingMean5,0.005416236
8,Avg_Bwd_Packets_Per_Second_RollingMean5,0.005300297
10,Flow_Count_RollingStd5,0.0051766257
3,Avg_Fwd_Packets_RollingStd5,0.005085363
5,PSH_Count_RollingMean5,0.005084305
7,Avg_Flow_Duration_RollingStd5,0.004883777
5,Avg_Packets_Per_Second_RollingMean5,0.004823515
6,Avg_Fwd_Packets_Per_Second_RollingStd5,0.0047662766
8,Avg_Bwd_Packets_Per_Second,0.004651318
9,Flow_Count_RollingStd5,0.0045833536
7,Flow_Count_RollingStd5,0.0045362553
4,Avg_Bwd_Packets_RollingMean5,0.0045334073
9,Avg_Bwd_Packets_RollingStd5,0.0043787546
10,ACK_Count,0.004364331
5,Avg_Fwd_Packets_Per_Second_RollingStd5,0.0043026973
3,Avg_Packets_Per_Second_RollingMean5,0.00414334
1,Avg_Bwd_Packets_RollingMean5,0.0041267513
1,Avg_Packets_Per_Second_RollingMean5,0.0041208426
8,RST_Count,0.00411099
3,RST_Per_Flow,0.004078837
3,Avg_Bwd_Packets_RollingMean5,0.0040783444
8,PSH_Count_RollingMean5,0.0040096533
8,RST_Per_Flow,0.003955924
2,Avg_Packets_Per_Second_RollingMean5,0.0038392758
7,PSH_Count_RollingMean5,0.0037979847
1,Unique_Destination_Ports_RollingStd5,0.0037943877
1,PSH_Count,0.0037907697
6,Avg_Fwd_Bytes_PctChange1,0.0036362472
