Feature,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base,Importance
timestep_10_feature_31,10,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour,0.01682352
timestep_7_feature_31,7,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour,0.011584193
timestep_10_feature_135,10,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.01134013
timestep_10_feature_14,10,14,RST_Count,Base Traffic,Base Traffic,0.010687498
timestep_7_feature_14,7,14,RST_Count,Base Traffic,Base Traffic,0.009987479
timestep_8_feature_127,8,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.009248446
timestep_9_feature_14,9,14,RST_Count,Base Traffic,Base Traffic,0.009065204
timestep_10_feature_55,10,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour,0.009058272
timestep_8_feature_23,8,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.008534232
timestep_8_feature_14,8,14,RST_Count,Base Traffic,Base Traffic,0.008169761
timestep_9_feature_155,9,155,SYN_Per_Flow,Base Traffic,Base Traffic,0.0080888
timestep_9_feature_3,9,3,Avg_Fwd_Packets,Base Traffic,Base Traffic,0.0075360206
timestep_9_feature_31,9,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour,0.007481941
timestep_8_feature_31,8,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour,0.007316307
timestep_10_feature_23,10,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.007173347
timestep_2_feature_155,2,155,SYN_Per_Flow,Base Traffic,Base Traffic,0.0071457634
timestep_6_feature_23,6,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.007052295
timestep_5_feature_23,5,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.0068666246
timestep_5_feature_13,5,13,SYN_Count,Base Traffic,Base Traffic,0.006518599
timestep_6_feature_31,6,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour,0.0062353085
timestep_7_feature_119,7,119,SYN_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.006062434
timestep_3_feature_130,3,130,RST_Count_Slope5,Slope,Temporal / Behaviour,0.0058835065
timestep_4_feature_135,4,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour,0.0057190647
timestep_2_feature_128,2,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour,0.005576007
timestep_4_feature_155,4,155,SYN_Per_Flow,Base Traffic,Base Traffic,0.0055012
timestep_9_feature_55,9,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour,0.005355211
timestep_10_feature_22,10,22,Flow_Count_PctChange5,Percentage Change,Temporal / Behaviour,0.0053483066
