Feature,Importance,Timestep,Feature_Index,Real_Feature,Feature_Family,Temporal_or_Base
timestep_10_feature_31,0.01682352,10,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_31,0.011584193,7,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_135,0.01134013,10,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_127,0.009248446,8,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_55,0.009058272,10,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_23,0.008534232,8,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_9_feature_31,0.007481941,9,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_8_feature_31,0.007316307,8,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_23,0.007173347,10,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_23,0.007052295,6,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_5_feature_23,0.0068666246,5,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_6_feature_31,0.0062353085,6,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_7_feature_119,0.006062434,7,119,SYN_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_130,0.0058835065,3,130,RST_Count_Slope5,Slope,Temporal / Behaviour
timestep_4_feature_135,0.0057190647,4,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_128,0.005576007,2,128,RST_Count_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_9_feature_55,0.005355211,9,55,Avg_Fwd_Bytes_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_22,0.0053483066,10,22,Flow_Count_PctChange5,Percentage Change,Temporal / Behaviour
timestep_9_feature_23,0.005106031,9,23,Flow_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_2_feature_135,0.004931111,2,135,PSH_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_4_feature_147,0.0049073873,4,147,Unique_Destination_Ports_Diff1,Difference,Temporal / Behaviour
timestep_7_feature_85,0.0048201657,7,85,Avg_Packet_Length_PctChange1,Percentage Change,Temporal / Behaviour
timestep_10_feature_69,0.0047434084,10,69,Avg_Bytes_Per_Second_PctChange1,Percentage Change,Temporal / Behaviour
timestep_5_feature_31,0.0047062654,5,31,Avg_Flow_Duration_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_10_feature_127,0.0046749488,10,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_9_feature_56,0.004293162,9,56,Avg_Fwd_Bytes_RollingStd5,Rolling Std,Temporal / Behaviour
timestep_4_feature_119,0.004233964,4,119,SYN_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_1_feature_127,0.004192833,1,127,RST_Count_RollingMean5,Rolling Mean,Temporal / Behaviour
timestep_3_feature_104,0.0039029294,3,104,Avg_Fwd_Packets_Per_Second_RollingStd5,Rolling Std,Temporal / Behaviour
