Timestep,count,sum,mean,Percent_of_Total
1,161,0.080483364897,0.000499896676378882,8.048336828277435
2,161,0.089502424307,0.0005559156789254659,8.950242807218816
3,161,0.07217812615,0.00044831134254658383,7.217812918638954
4,161,0.09136487415,0.0005674836903726708,9.136487799353768
5,161,0.080147908036,0.0004978130933913043,8.014791140766233
6,161,0.086453132,0.0005369759751552795,8.645313563691051
7,161,0.086879117285,0.0005396218464906832,8.687912093983085
8,161,0.109851490389,0.0006823073937204969,10.985149501023269
9,161,0.131904643968,0.0008192835029068324,13.190464951696478
10,161,0.17123487675000001,0.0010635706630434784,17.12348839535091
