Feature,Importance,Cumulative_Percent
timestep_10_feature_31,0.01682352,1.6823520707731867
timestep_7_feature_31,0.011584193,2.8407714195055718
timestep_10_feature_135,0.01134013,3.974784467211233
timestep_10_feature_14,0.010687498,5.043534312171402
timestep_7_feature_14,0.009987479,6.0422822541867305
timestep_8_feature_127,0.009248446,6.967126893093094
timestep_9_feature_14,0.009065204,7.873647331228595
timestep_10_feature_55,0.009058272,8.779474569334935
timestep_8_feature_23,0.008534232,9.632897805236745
timestep_8_feature_14,0.008169761,10.449873939605297
timestep_9_feature_155,0.0080888,11.258753973633262
timestep_9_feature_3,0.0075360206,12.012356065335794
timestep_9_feature_31,0.007481941,12.760550196810824
timestep_8_feature_31,0.007316307,13.492180927589065
timestep_10_feature_23,0.007173347,14.209515657765904
timestep_2_feature_155,0.0071457634,14.924092027826703
timestep_6_feature_23,0.007052295,15.629321557494297
timestep_5_feature_23,0.0068666246,16.315984046380812
timestep_5_feature_13,0.006518599,16.967843973803255
timestep_6_feature_31,0.0062353085,17.591374850033954
timestep_7_feature_119,0.006062434,18.1976182755374
timestep_3_feature_130,0.0058835065,18.78596895028814
timestep_4_feature_135,0.0057190647,19.3578754443471
timestep_2_feature_128,0.005576007,19.915476167804247
timestep_4_feature_155,0.0055012,20.465596190946698
timestep_9_feature_55,0.005355211,21.001117313475
timestep_10_feature_22,0.0053483066,21.535947995974254
timestep_8_feature_158,0.0052730744,22.063255458157023
timestep_9_feature_23,0.005106031,22.57385857963708
timestep_2_feature_135,0.004931111,23.066969700381275
