Model,Curve,X,Y,Threshold
Original XGBoost,ROC,0.0,0.0,inf
Original XGBoost,ROC,0.0,0.00546448087431694,0.9038967
Original XGBoost,ROC,0.0,0.07650273224043716,0.5646127
Original XGBoost,ROC,0.0029498525073746312,0.07650273224043716,0.5100693
Original XGBoost,ROC,0.0029498525073746312,0.16393442622950818,0.24757335
Original XGBoost,ROC,0.0058997050147492625,0.16393442622950818,0.24094138
Original XGBoost,ROC,0.0058997050147492625,0.17486338797814208,0.23331273
Original XGBoost,ROC,0.011799410029498525,0.17486338797814208,0.2204668
Original XGBoost,ROC,0.011799410029498525,0.18032786885245902,0.21734686
Original XGBoost,ROC,0.014749262536873156,0.18032786885245902,0.21734366
Original XGBoost,ROC,0.014749262536873156,0.18579234972677597,0.21583726
Original XGBoost,ROC,0.02064896755162242,0.18579234972677597,0.20000173
Original XGBoost,ROC,0.02064896755162242,0.20218579234972678,0.18647371
Original XGBoost,ROC,0.02654867256637168,0.20218579234972678,0.17902526
Original XGBoost,ROC,0.02654867256637168,0.20765027322404372,0.17526582
Original XGBoost,ROC,0.032448377581120944,0.20765027322404372,0.17210309
Original XGBoost,ROC,0.032448377581120944,0.2185792349726776,0.16986759
Original XGBoost,ROC,0.04129793510324484,0.2185792349726776,0.16702442
Original XGBoost,ROC,0.04129793510324484,0.2459016393442623,0.16195798
Original XGBoost,ROC,0.05014749262536873,0.2459016393442623,0.15088552
Original XGBoost,ROC,0.05014749262536873,0.25136612021857924,0.15049566
Original XGBoost,ROC,0.05309734513274336,0.25136612021857924,0.14875461
Original XGBoost,ROC,0.05309734513274336,0.26229508196721313,0.13999724
Original XGBoost,ROC,0.05604719764011799,0.26229508196721313,0.13949269
Original XGBoost,ROC,0.05604719764011799,0.2677595628415301,0.13937695
Original XGBoost,ROC,0.06784660766961652,0.2677595628415301,0.13512284
Original XGBoost,ROC,0.06784660766961652,0.2896174863387978,0.13162377
Original XGBoost,ROC,0.07964601769911504,0.2896174863387978,0.12852477
Original XGBoost,ROC,0.07964601769911504,0.29508196721311475,0.12812318
Original XGBoost,ROC,0.08259587020648967,0.29508196721311475,0.12577666
Original XGBoost,ROC,0.08259587020648967,0.31693989071038253,0.12433665
Original XGBoost,ROC,0.08849557522123894,0.31693989071038253,0.12393979
Original XGBoost,ROC,0.08849557522123894,0.32786885245901637,0.12355195
Original XGBoost,ROC,0.09734513274336283,0.32786885245901637,0.121476315
Original XGBoost,ROC,0.09734513274336283,0.34972677595628415,0.12031878
Original XGBoost,ROC,0.10324483775811209,0.34972677595628415,0.11690369
Original XGBoost,ROC,0.10324483775811209,0.3551912568306011,0.11588085
Original XGBoost,ROC,0.12094395280235988,0.3551912568306011,0.113497764
Original XGBoost,ROC,0.12094395280235988,0.366120218579235,0.11207962
Original XGBoost,ROC,0.13569321533923304,0.366120218579235,0.108965605
Original XGBoost,ROC,0.13569321533923304,0.3770491803278688,0.1049796
Original XGBoost,ROC,0.1415929203539823,0.3770491803278688,0.10432065
Original XGBoost,ROC,0.1415929203539823,0.3825136612021858,0.10416794
Original XGBoost,ROC,0.1504424778761062,0.3825136612021858,0.10076177
Original XGBoost,ROC,0.1504424778761062,0.39344262295081966,0.09740593
Original XGBoost,ROC,0.15634218289085547,0.39344262295081966,0.096738726
Original XGBoost,ROC,0.15634218289085547,0.3989071038251366,0.0963829
Original XGBoost,ROC,0.168141592920354,0.3989071038251366,0.093709566
Original XGBoost,ROC,0.168141592920354,0.4098360655737705,0.091372326
Original XGBoost,ROC,0.18584070796460178,0.4098360655737705,0.08667971
Original XGBoost,ROC,0.18584070796460178,0.41530054644808745,0.086655825
Original XGBoost,ROC,0.20353982300884957,0.41530054644808745,0.081976555
Original XGBoost,ROC,0.20353982300884957,0.4207650273224044,0.081761345
Original XGBoost,ROC,0.22713864306784662,0.4207650273224044,0.0777484
Original XGBoost,ROC,0.22713864306784662,0.4371584699453552,0.07753343
Original XGBoost,ROC,0.23303834808259588,0.4371584699453552,0.07557371
Original XGBoost,ROC,0.23303834808259588,0.44808743169398907,0.07542301
Original XGBoost,ROC,0.2448377581120944,0.44808743169398907,0.07457458
Original XGBoost,ROC,0.2448377581120944,0.453551912568306,0.07389896
Original XGBoost,ROC,0.24778761061946902,0.453551912568306,0.073844306
Original XGBoost,ROC,0.24778761061946902,0.46994535519125685,0.07276592
Original XGBoost,ROC,0.2536873156342183,0.46994535519125685,0.07244034
Original XGBoost,ROC,0.2536873156342183,0.4808743169398907,0.07223343
Original XGBoost,ROC,0.26843657817109146,0.4808743169398907,0.06978931
Original XGBoost,ROC,0.26843657817109146,0.48633879781420764,0.06972654
Original XGBoost,ROC,0.28023598820059,0.48633879781420764,0.06912275
Original XGBoost,ROC,0.28023598820059,0.4918032786885246,0.06905195
Original XGBoost,ROC,0.2861356932153392,0.4918032786885246,0.06810224
Original XGBoost,ROC,0.2861356932153392,0.5027322404371585,0.0666229
Original XGBoost,ROC,0.2949852507374631,0.5027322404371585,0.06638003
Original XGBoost,ROC,0.2949852507374631,0.5081967213114754,0.066378966
Original XGBoost,ROC,0.3008849557522124,0.5081967213114754,0.06610475
Original XGBoost,ROC,0.3008849557522124,0.5136612021857924,0.06609182
Original XGBoost,ROC,0.31563421828908556,0.5136612021857924,0.06447244
Original XGBoost,ROC,0.31563421828908556,0.5191256830601093,0.064445704
Original XGBoost,ROC,0.3185840707964602,0.5191256830601093,0.06369664
Original XGBoost,ROC,0.3185840707964602,0.5300546448087432,0.063429795
Original XGBoost,ROC,0.3215339233038348,0.5300546448087432,0.06274538
Original XGBoost,ROC,0.3215339233038348,0.546448087431694,0.06171739
Original XGBoost,ROC,0.3392330383480826,0.546448087431694,0.059500683
Original XGBoost,ROC,0.3392330383480826,0.5519125683060109,0.05946753
Original XGBoost,ROC,0.35693215339233036,0.5519125683060109,0.057329938
Original XGBoost,ROC,0.35693215339233036,0.5573770491803278,0.057291914
Original XGBoost,ROC,0.37168141592920356,0.5573770491803278,0.0568611
Original XGBoost,ROC,0.37168141592920356,0.5628415300546448,0.056754354
Original XGBoost,ROC,0.3834808259587021,0.5628415300546448,0.05612032
Original XGBoost,ROC,0.3834808259587021,0.5737704918032787,0.055829145
Original XGBoost,ROC,0.39233038348082594,0.5737704918032787,0.0544173
Original XGBoost,ROC,0.39233038348082594,0.5792349726775956,0.05426288
Original XGBoost,ROC,0.3952802359882006,0.5792349726775956,0.05369105
Original XGBoost,ROC,0.3952802359882006,0.5846994535519126,0.052807402
Original XGBoost,ROC,0.39823008849557523,0.5846994535519126,0.052782018
Original XGBoost,ROC,0.39823008849557523,0.5901639344262295,0.052004866
Original XGBoost,ROC,0.40412979351032446,0.5901639344262295,0.051099945
Original XGBoost,ROC,0.40412979351032446,0.5956284153005464,0.05087416
Original XGBoost,ROC,0.40707964601769914,0.5956284153005464,0.05080799
Original XGBoost,ROC,0.40707964601769914,0.6010928961748634,0.050554644
Original XGBoost,ROC,0.41002949852507375,0.6010928961748634,0.0497991
Original XGBoost,ROC,0.41002949852507375,0.6065573770491803,0.049667165
Original XGBoost,ROC,0.41297935103244837,0.6065573770491803,0.04960235
Original XGBoost,ROC,0.41297935103244837,0.6174863387978142,0.04931714
Original XGBoost,ROC,0.41887905604719766,0.6174863387978142,0.048972588
Original XGBoost,ROC,0.41887905604719766,0.6229508196721312,0.048746694
Original XGBoost,ROC,0.4247787610619469,0.6229508196721312,0.048330598
Original XGBoost,ROC,0.4247787610619469,0.6284153005464481,0.047981273
Original XGBoost,ROC,0.4365781710914454,0.6284153005464481,0.04659056
Original XGBoost,ROC,0.4365781710914454,0.6338797814207651,0.04655399
Original XGBoost,ROC,0.43952802359882004,0.6338797814207651,0.046486113
Original XGBoost,ROC,0.43952802359882004,0.644808743169399,0.046269517
Original XGBoost,ROC,0.4424778761061947,0.644808743169399,0.046248462
Original XGBoost,ROC,0.4424778761061947,0.6502732240437158,0.045906544
Original XGBoost,ROC,0.44837758112094395,0.6502732240437158,0.045635447
Original XGBoost,ROC,0.44837758112094395,0.6557377049180327,0.045569524
Original XGBoost,ROC,0.45427728613569324,0.6557377049180327,0.045261893
Original XGBoost,ROC,0.45427728613569324,0.6612021857923497,0.04517997
Original XGBoost,ROC,0.4690265486725664,0.6612021857923497,0.044237453
Original XGBoost,ROC,0.4690265486725664,0.6666666666666666,0.0441253
Original XGBoost,ROC,0.4778761061946903,0.6666666666666666,0.043055244
Original XGBoost,ROC,0.4778761061946903,0.6721311475409836,0.04295605
Original XGBoost,ROC,0.4808259587020649,0.6721311475409836,0.04294477
Original XGBoost,ROC,0.4808259587020649,0.6830601092896175,0.042398144
Original XGBoost,ROC,0.49852507374631266,0.6830601092896175,0.041094348
Original XGBoost,ROC,0.49852507374631266,0.6939890710382514,0.040997904
Original XGBoost,ROC,0.504424778761062,0.6939890710382514,0.040703014
Original XGBoost,ROC,0.504424778761062,0.6994535519125683,0.039874833
Original XGBoost,ROC,0.5191740412979351,0.6994535519125683,0.039349217
Original XGBoost,ROC,0.5191740412979351,0.7049180327868853,0.039166696
Original XGBoost,ROC,0.5221238938053098,0.7049180327868853,0.038803563
Original XGBoost,ROC,0.5221238938053098,0.7158469945355191,0.038767707
Original XGBoost,ROC,0.5250737463126843,0.7158469945355191,0.03841161
Original XGBoost,ROC,0.5250737463126843,0.726775956284153,0.038407505
Original XGBoost,ROC,0.5339233038348082,0.726775956284153,0.037862625
Original XGBoost,ROC,0.5339233038348082,0.7377049180327869,0.037706997
Original XGBoost,ROC,0.5368731563421829,0.7377049180327869,0.037695717
Original XGBoost,ROC,0.5368731563421829,0.7431693989071039,0.037666813
Original XGBoost,ROC,0.56047197640118,0.7431693989071039,0.037021652
Original XGBoost,ROC,0.56047197640118,0.7486338797814208,0.03656096
Original XGBoost,ROC,0.5634218289085545,0.7486338797814208,0.036534462
Original XGBoost,ROC,0.5634218289085545,0.7540983606557377,0.03647883
Original XGBoost,ROC,0.5781710914454278,0.7540983606557377,0.035235964
