Feature_Index,Importance
158,0.12133758
176,0.060428567
122,0.030193064
163,0.026158167
140,0.02487227
145,0.024615146
173,0.021452582
139,0.02004713
175,0.019720301
155,0.016400557
104,0.015652368
50,0.01450065
127,0.012695788
157,0.012476243
86,0.012469505
68,0.011013185
152,0.010098145
121,0.009178442
37,0.008690176
91,0.00809375
134,0.00784727
32,0.0078012096
137,0.006988257
109,0.006911208
103,0.0062655252
55,0.006213724
34,0.005869736
79,0.005833777
36,0.005739826
148,0.0056765177
166,0.0054699075
85,0.005347987
153,0.0052694366
5,0.005233213
97,0.005205424
117,0.005170032
21,0.0050453665
19,0.0050282925
22,0.004874537
67,0.0048655015
100,0.0048394487
101,0.004750338
18,0.004750262
141,0.004675542
116,0.004553892
136,0.0044892477
177,0.0044109584
63,0.0043718456
159,0.0043638195
3,0.0043597054
135,0.0043291086
49,0.004324345
13,0.0043049427
26,0.004239683
90,0.004185139
77,0.004184762
23,0.004139097
124,0.0041309046
119,0.004129859
170,0.0041273786
142,0.0041214344
172,0.004102072
171,0.0040852125
105,0.0040281685
27,0.004016394
156,0.004009145
178,0.003979974
20,0.0039693327
62,0.0039679357
106,0.003962662
108,0.0039332733
160,0.0039295675
45,0.0039060854
64,0.0038699731
42,0.0038323153
51,0.0038308126
123,0.0038086365
82,0.0038025365
2,0.003746629
52,0.0036942945
110,0.0036775835
151,0.0036737735
56,0.0036078186
74,0.0035137753
38,0.0034686027
83,0.0034524954
6,0.0034243774
98,0.0034213122
9,0.0034190076
39,0.0033700129
29,0.0033659572
114,0.0033617783
138,0.0033600049
174,0.0033461626
28,0.003337799
30,0.0033360298
44,0.0032784543
75,0.003270525
146,0.0032238923
169,0.0032093648
128,0.003186498
99,0.003180776
87,0.0031742915
15,0.0031578357
41,0.0031525898
150,0.0031369969
162,0.00313249
72,0.003115869
61,0.003113468
57,0.0030896766
0,0.00307337
118,0.0030382548
16,0.0030189543
58,0.0029550877
149,0.0029361038
47,0.0029019148
1,0.0028913426
69,0.0028890441
133,0.002870393
154,0.0028130847
113,0.0027966648
84,0.0027746828
73,0.00276393
102,0.0027309172
96,0.0027230473
31,0.0027012886
46,0.0026889197
10,0.0026856766
168,0.002682071
60,0.0026586512
65,0.0026212202
12,0.0026139582
80,0.0026084834
131,0.0025679881
126,0.0025668065
14,0.002503754
59,0.0024597892
24,0.0024547712
70,0.0024469986
147,0.0024096095
54,0.002402574
111,0.0023764628
95,0.002325942
66,0.0023112881
167,0.0022818919
93,0.0022465289
48,0.0022399274
81,0.0022368361
130,0.0022227983
33,0.0021853012
8,0.002100447
25,0.0020839714
165,0.002031447
129,0.002017902
11,0.0019485566
164,0.0019472081
92,0.0019155238
78,0.0018825168
88,0.0018128261
43,0.0017449912
4,0.0017313319
144,0.0016753579
7,0.0015795595
76,0.0015717251
120,0.0014188436
40,0.0013119312
132,0.0012010211
94,0.001084068
112,0.0009933242
115,0.00070473884
35,0.0
17,0.0
107,0.0
89,0.0
53,0.0
71,0.0
143,0.0
125,0.0
161,0.0
179,0.0
