Model,Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Attack_Predictions
Original XGBoost,0.01,0.3505747126436782,0.3488372093023256,0.9836065573770492,0.5150214592274678,3,336,3,180,516
Original XGBoost,0.02,0.42528735632183906,0.37199124726477023,0.9289617486338798,0.53125,52,287,13,170,457
Original XGBoost,0.03,0.4942528735632184,0.3908355795148248,0.7923497267759563,0.5234657039711191,113,226,38,145,371
Original XGBoost,0.04,0.5651340996168582,0.4261744966442953,0.6939890710382514,0.5280665280665281,168,171,56,127,298
Original XGBoost,0.05,0.5957854406130269,0.4435483870967742,0.6010928961748634,0.5104408352668214,201,138,73,110,248
Original XGBoost,0.060000000000000005,0.6226053639846744,0.4672897196261682,0.546448087431694,0.5037783375314862,225,114,83,100,214
Original XGBoost,0.06999999999999999,0.6475095785440613,0.4971751412429379,0.4808743169398907,0.4888888888888889,250,89,95,88,177
Original XGBoost,0.08,0.6609195402298851,0.5202702702702703,0.4207650273224044,0.4652567975830816,268,71,106,77,148
Original XGBoost,0.09,0.6839080459770115,0.5681818181818182,0.4098360655737705,0.47619047619047616,282,57,108,75,132
Original XGBoost,0.09999999999999999,0.685823754789272,0.5785123966942148,0.3825136612021858,0.4605263157894737,288,51,113,70,121
Original XGBoost,0.11,0.6954022988505747,0.6090909090909091,0.366120218579235,0.45733788395904434,296,43,116,67,110
Original XGBoost,0.12,0.7088122605363985,0.6597938144329897,0.34972677595628415,0.45714285714285713,306,33,119,64,97
Original XGBoost,0.13,0.7011494252873564,0.6708860759493671,0.2896174863387978,0.40458015267175573,313,26,130,53,79
Original XGBoost,0.14,0.7049808429118773,0.7230769230769231,0.2568306010928962,0.3790322580645161,321,18,136,47,65
Original XGBoost,0.15000000000000002,0.7049808429118773,0.7301587301587301,0.25136612021857924,0.37398373983739835,322,17,137,46,63
Original XGBoost,0.16,0.7068965517241379,0.75,0.2459016393442623,0.37037037037037035,324,15,138,45,60
Original XGBoost,0.17,0.7030651340996169,0.78,0.21311475409836064,0.33476394849785407,328,11,144,39,50
Original XGBoost,0.18000000000000002,0.7049808429118773,0.8222222222222222,0.20218579234972678,0.32456140350877194,331,8,146,37,45
Original XGBoost,0.19,0.7049808429118773,0.8372093023255814,0.19672131147540983,0.3185840707964602,332,7,147,36,43
Original XGBoost,0.2,0.7011494252873564,0.8292682926829268,0.18579234972677597,0.30357142857142855,332,7,149,34,41
Original XGBoost,0.21000000000000002,0.7049808429118773,0.8717948717948718,0.18579234972677597,0.3063063063063063,334,5,149,34,39
Original XGBoost,0.22,0.7030651340996169,0.8888888888888888,0.17486338797814208,0.2922374429223744,335,4,151,32,36
Original XGBoost,0.23,0.7049808429118773,0.9142857142857143,0.17486338797814208,0.29357798165137616,336,3,151,32,35
Original XGBoost,0.24000000000000002,0.7030651340996169,0.9375,0.16393442622950818,0.27906976744186046,337,2,153,30,32
Original XGBoost,0.25,0.7030651340996169,0.9666666666666667,0.15846994535519127,0.27230046948356806,338,1,154,29,30
Original XGBoost,0.26,0.7030651340996169,0.9666666666666667,0.15846994535519127,0.27230046948356806,338,1,154,29,30
Original XGBoost,0.27,0.7011494252873564,0.9655172413793104,0.15300546448087432,0.2641509433962264,338,1,155,28,29
Original XGBoost,0.28,0.6992337164750958,0.9642857142857143,0.14754098360655737,0.2559241706161137,338,1,156,27,28
Original XGBoost,0.29000000000000004,0.6934865900383141,0.96,0.13114754098360656,0.23076923076923078,338,1,159,24,25
Original XGBoost,0.3,0.6934865900383141,0.96,0.13114754098360656,0.23076923076923078,338,1,159,24,25
Original XGBoost,0.31,0.6915708812260536,0.9583333333333334,0.12568306010928962,0.2222222222222222,338,1,160,23,24
Original XGBoost,0.32,0.6896551724137931,0.9565217391304348,0.12021857923497267,0.21359223300970873,338,1,161,22,23
Original XGBoost,0.33,0.6896551724137931,0.9565217391304348,0.12021857923497267,0.21359223300970873,338,1,161,22,23
Original XGBoost,0.34,0.6877394636015326,0.9545454545454546,0.11475409836065574,0.2048780487804878,338,1,162,21,22
Original XGBoost,0.35000000000000003,0.6877394636015326,0.9545454545454546,0.11475409836065574,0.2048780487804878,338,1,162,21,22
Original XGBoost,0.36000000000000004,0.685823754789272,0.9523809523809523,0.1092896174863388,0.19607843137254902,338,1,163,20,21
Original XGBoost,0.37,0.6839080459770115,0.95,0.10382513661202186,0.18719211822660098,338,1,164,19,20
Original XGBoost,0.38,0.6839080459770115,0.95,0.10382513661202186,0.18719211822660098,338,1,164,19,20
Original XGBoost,0.39,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.4,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.41000000000000003,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.42000000000000004,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.43,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.44,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.45,0.6819923371647509,0.9473684210526315,0.09836065573770492,0.1782178217821782,338,1,165,18,19
Original XGBoost,0.46,0.6781609195402298,0.9411764705882353,0.08743169398907104,0.16,338,1,167,16,17
Original XGBoost,0.47000000000000003,0.6781609195402298,0.9411764705882353,0.08743169398907104,0.16,338,1,167,16,17
Original XGBoost,0.48000000000000004,0.6762452107279694,0.9375,0.08196721311475409,0.1507537688442211,338,1,168,15,16
Original XGBoost,0.49,0.6743295019157088,0.9333333333333333,0.07650273224043716,0.1414141414141414,338,1,169,14,15
Original XGBoost,0.5,0.6743295019157088,0.9333333333333333,0.07650273224043716,0.1414141414141414,338,1,169,14,15
Original XGBoost,0.51,0.6743295019157088,0.9333333333333333,0.07650273224043716,0.1414141414141414,338,1,169,14,15
Original XGBoost,0.52,0.6762452107279694,1.0,0.07650273224043716,0.14213197969543148,339,0,169,14,14
Original XGBoost,0.53,0.6762452107279694,1.0,0.07650273224043716,0.14213197969543148,339,0,169,14,14
Original XGBoost,0.54,0.6762452107279694,1.0,0.07650273224043716,0.14213197969543148,339,0,169,14,14
Original XGBoost,0.55,0.6762452107279694,1.0,0.07650273224043716,0.14213197969543148,339,0,169,14,14
Original XGBoost,0.56,0.6762452107279694,1.0,0.07650273224043716,0.14213197969543148,339,0,169,14,14
Original XGBoost,0.5700000000000001,0.6743295019157088,1.0,0.07103825136612021,0.1326530612244898,339,0,170,13,13
Original XGBoost,0.5800000000000001,0.6743295019157088,1.0,0.07103825136612021,0.1326530612244898,339,0,170,13,13
Original XGBoost,0.59,0.6743295019157088,1.0,0.07103825136612021,0.1326530612244898,339,0,170,13,13
Original XGBoost,0.6,0.6743295019157088,1.0,0.07103825136612021,0.1326530612244898,339,0,170,13,13
Original XGBoost,0.61,0.6724137931034483,1.0,0.06557377049180328,0.12307692307692308,339,0,171,12,12
Original XGBoost,0.62,0.6724137931034483,1.0,0.06557377049180328,0.12307692307692308,339,0,171,12,12
Original XGBoost,0.63,0.6704980842911877,1.0,0.060109289617486336,0.1134020618556701,339,0,172,11,11
Original XGBoost,0.64,0.6704980842911877,1.0,0.060109289617486336,0.1134020618556701,339,0,172,11,11
Original XGBoost,0.65,0.6685823754789272,1.0,0.0546448087431694,0.10362694300518134,339,0,173,10,10
Original XGBoost,0.66,0.6685823754789272,1.0,0.0546448087431694,0.10362694300518134,339,0,173,10,10
Original XGBoost,0.67,0.6666666666666666,1.0,0.04918032786885246,0.09375,339,0,174,9,9
Original XGBoost,0.68,0.6647509578544061,1.0,0.04371584699453552,0.08376963350785341,339,0,175,8,8
Original XGBoost,0.6900000000000001,0.6628352490421456,1.0,0.03825136612021858,0.07368421052631578,339,0,176,7,7
Original XGBoost,0.7000000000000001,0.6628352490421456,1.0,0.03825136612021858,0.07368421052631578,339,0,176,7,7
Original XGBoost,0.7100000000000001,0.6628352490421456,1.0,0.03825136612021858,0.07368421052631578,339,0,176,7,7
Original XGBoost,0.72,0.6628352490421456,1.0,0.03825136612021858,0.07368421052631578,339,0,176,7,7
Original XGBoost,0.73,0.6609195402298851,1.0,0.03278688524590164,0.06349206349206349,339,0,177,6,6
Original XGBoost,0.74,0.657088122605364,1.0,0.02185792349726776,0.0427807486631016,339,0,179,4,4
Original XGBoost,0.75,0.657088122605364,1.0,0.02185792349726776,0.0427807486631016,339,0,179,4,4
Original XGBoost,0.76,0.657088122605364,1.0,0.02185792349726776,0.0427807486631016,339,0,179,4,4
Original XGBoost,0.77,0.657088122605364,1.0,0.02185792349726776,0.0427807486631016,339,0,179,4,4
Original XGBoost,0.78,0.657088122605364,1.0,0.02185792349726776,0.0427807486631016,339,0,179,4,4
Original XGBoost,0.79,0.6551724137931034,1.0,0.01639344262295082,0.03225806451612903,339,0,180,3,3
Original XGBoost,0.8,0.6551724137931034,1.0,0.01639344262295082,0.03225806451612903,339,0,180,3,3
Original XGBoost,0.81,0.6551724137931034,1.0,0.01639344262295082,0.03225806451612903,339,0,180,3,3
Original XGBoost,0.8200000000000001,0.6551724137931034,1.0,0.01639344262295082,0.03225806451612903,339,0,180,3,3
Original XGBoost,0.8300000000000001,0.6551724137931034,1.0,0.01639344262295082,0.03225806451612903,339,0,180,3,3
Original XGBoost,0.8400000000000001,0.6532567049808429,1.0,0.01092896174863388,0.021621621621621623,339,0,181,2,2
Original XGBoost,0.85,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.86,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.87,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.88,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.89,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.9,0.6513409961685823,1.0,0.00546448087431694,0.010869565217391304,339,0,182,1,1
Original XGBoost,0.91,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.92,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.93,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.9400000000000001,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.9500000000000001,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.9600000000000001,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.97,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.98,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Original XGBoost,0.99,0.6494252873563219,0.0,0.0,0.0,339,0,183,0,0
Enhanced XGBoost,0.01,0.7052023121387283,0.6190476190476191,0.4262295081967213,0.5048543689320388,288,48,105,78,126
Enhanced XGBoost,0.02,0.7052023121387283,0.6923076923076923,0.29508196721311475,0.41379310344827586,312,24,129,54,78
Enhanced XGBoost,0.03,0.7109826589595376,0.8,0.24043715846994534,0.3697478991596639,325,11,139,44,55
Enhanced XGBoost,0.04,0.7071290944123314,0.7924528301886793,0.22950819672131148,0.3559322033898305,325,11,141,42,53
Enhanced XGBoost,0.05,0.7090558766859345,0.8333333333333334,0.2185792349726776,0.3463203463203463,328,8,143,40,48
Enhanced XGBoost,0.060000000000000005,0.7109826589595376,0.851063829787234,0.2185792349726776,0.34782608695652173,329,7,143,40,47
Enhanced XGBoost,0.06999999999999999,0.7129094412331407,0.8695652173913043,0.2185792349726776,0.34934497816593885,330,6,143,40,46
Enhanced XGBoost,0.08,0.7186897880539499,0.9302325581395349,0.2185792349726776,0.35398230088495575,333,3,143,40,43
Enhanced XGBoost,0.09,0.7167630057803468,0.9285714285714286,0.21311475409836064,0.3466666666666667,333,3,144,39,42
Enhanced XGBoost,0.09999999999999999,0.7129094412331407,0.925,0.20218579234972678,0.33183856502242154,333,3,146,37,40
Enhanced XGBoost,0.11,0.7109826589595376,0.9459459459459459,0.1912568306010929,0.3181818181818182,334,2,148,35,37
Enhanced XGBoost,0.12,0.7052023121387283,0.9411764705882353,0.17486338797814208,0.29493087557603687,334,2,151,32,34
Enhanced XGBoost,0.13,0.697495183044316,0.9333333333333333,0.15300546448087432,0.26291079812206575,334,2,155,28,30
Enhanced XGBoost,0.14,0.6955684007707129,0.9310344827586207,0.14754098360655737,0.25471698113207547,334,2,156,27,29
Enhanced XGBoost,0.15000000000000002,0.6917148362235067,0.96,0.13114754098360656,0.23076923076923078,335,1,159,24,25
Enhanced XGBoost,0.16,0.6897880539499036,0.9583333333333334,0.12568306010928962,0.2222222222222222,335,1,160,23,24
Enhanced XGBoost,0.17,0.6897880539499036,0.9583333333333334,0.12568306010928962,0.2222222222222222,335,1,160,23,24
Enhanced XGBoost,0.18000000000000002,0.6859344894026975,0.9545454545454546,0.11475409836065574,0.2048780487804878,335,1,162,21,22
Enhanced XGBoost,0.19,0.6840077071290944,0.9523809523809523,0.1092896174863388,0.19607843137254902,335,1,163,20,21
Enhanced XGBoost,0.2,0.6820809248554913,0.95,0.10382513661202186,0.18719211822660098,335,1,164,19,20
Enhanced XGBoost,0.21000000000000002,0.6820809248554913,0.95,0.10382513661202186,0.18719211822660098,335,1,164,19,20
Enhanced XGBoost,0.22,0.6820809248554913,0.95,0.10382513661202186,0.18719211822660098,335,1,164,19,20
Enhanced XGBoost,0.23,0.6801541425818882,0.9473684210526315,0.09836065573770492,0.1782178217821782,335,1,165,18,19
