Feature_Index,Importance
166,0.034580074
121,0.027664423
157,0.026753154
175,0.026729343
139,0.026321257
176,0.01887555
158,0.01748555
112,0.01668606
148,0.016007608
173,0.015286065
69,0.015074984
85,0.012030361
155,0.0119633395
137,0.011122355
122,0.011042927
163,0.011024561
103,0.010821398
119,0.010735852
104,0.0105742635
12,0.0103844525
49,0.010291971
140,0.010139947
13,0.009977975
101,0.009528882
68,0.009297004
86,0.009255627
32,0.009189237
47,0.009103875
156,0.009083784
160,0.009045607
123,0.009012378
66,0.008968446
73,0.008966242
91,0.008953048
30,0.008918364
14,0.008458847
94,0.008428794
84,0.008226673
11,0.00804204
51,0.0080383485
174,0.0076840036
102,0.0075047025
50,0.0074922596
83,0.007399864
146,0.0072496394
33,0.0070553096
127,0.006881587
61,0.0067916326
48,0.0066999844
120,0.006635764
29,0.0064963317
65,0.00644381
141,0.0064345486
130,0.0064224675
87,0.0064126495
145,0.006403115
21,0.0063359505
42,0.0059010987
109,0.0055218805
25,0.005499396
43,0.0054968367
38,0.005485331
169,0.0054515717
132,0.005304565
138,0.005237707
4,0.005218356
116,0.0051971055
63,0.005178442
117,0.005120199
37,0.005076976
2,0.0050142924
150,0.005002044
19,0.0049789483
108,0.0049712867
58,0.004939157
76,0.0048920875
18,0.0048910724
75,0.004809983
39,0.0047894595
31,0.0047567203
3,0.004737726
15,0.0047323457
57,0.0047155223
178,0.0046074633
149,0.004575843
171,0.0044095353
144,0.0043732254
97,0.004219106
128,0.0041993787
62,0.0041612727
56,0.0041334718
81,0.004118168
153,0.0040071798
110,0.003977948
126,0.0039077327
1,0.0038799571
99,0.0038498326
168,0.0038475879
177,0.0038033552
159,0.0038007472
72,0.0037886924
115,0.0037062129
98,0.0036726268
52,0.003641047
111,0.0036381017
82,0.0035891593
162,0.0035492165
80,0.0034920722
64,0.0033905038
114,0.0033502863
74,0.0033265788
24,0.0033170872
113,0.0032712405
147,0.0032354181
135,0.003204852
34,0.003171992
172,0.0031701983
20,0.0031538256
133,0.0031362236
131,0.0031084968
67,0.003105282
106,0.0030823485
96,0.0030760376
92,0.0029950486
100,0.0029867075
164,0.002955303
40,0.0029320146
22,0.0029122962
152,0.0028696437
7,0.0028681476
26,0.0028322325
9,0.00270759
70,0.00270699
136,0.0026321863
129,0.0026210798
151,0.002593074
60,0.002565687
55,0.0025229747
118,0.0025217591
36,0.0023305442
167,0.0023031952
59,0.0022221063
95,0.002204638
41,0.002133505
5,0.0020845677
170,0.0020784622
90,0.0020626516
10,0.0019957172
124,0.0017929282
27,0.0017540394
6,0.0017251855
44,0.0016647328
78,0.0016162694
46,0.001542594
88,0.0013336735
0,0.0011683521
16,0.000995124
93,0.0009679704
79,0.0008862234
8,0.00053439656
28,0.0005147478
45,0.00050684356
105,0.00048321916
142,0.00047188665
23,0.0
35,0.0
17,0.0
89,0.0
54,0.0
53,0.0
71,0.0
77,0.0
107,0.0
143,0.0
125,0.0
134,0.0
161,0.0
154,0.0
165,0.0
179,0.0
